@relation 'evento'
@attribute temporada { normal, junina, ferias }
@attribute semana { inicio, final, meio }
@attribute grupo { desconhecido, normal, bom }
@attribute eventos { nao, sim}
@attribute clima { nao, sim}
@attribute data_especial { nao, sim }
@attribute interessadasDummie { muito_fraco, fraco, normal, bom, muito_bom }
@attribute publico { muito_fraco, fraco, normal, bom, muito_bom }
@attribute qtdPublic numeric
@attribute mes {janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro}
@data
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom,1127,julho
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom,1120,julho
junina,final,normal,nao,nao,nao,muito_bom,muito_bom,1127,julho
junina,inicio,normal,nao,nao,nao,muito_bom,muito_bom,938,agosto
junina,inicio,desconhecido,nao,nao,nao,normal,normal,702,agosto
junina,meio,normal,nao,nao,nao,bom,normal,738,agosto
junina,final,normal,nao,nao,nao,bom,bom,921,agosto
normal,inicio,normal,sim,nao,nao,muito_bom,bom,750,setembro
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,922,setembro
normal,meio,normal,sim,nao,nao,muito_bom,normal,620,setembro
normal,final,normal,sim,nao,nao,muito_bom,bom,732,setembro
normal,final,normal,nao,sim,nao,muito_bom,fraco,462,setembro
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,970,outubro
normal,inicio,desconhecido,sim,nao,nao,fraco,muito_fraco,392,outubro
normal,meio,normal,nao,nao,sim,muito_bom,muito_bom,928,outubro
normal,final,normal,nao,nao,nao,bom,normal,510,outubro
normal,inicio,normal,sim,nao,nao,muito_bom,bom,762,novembro
normal,inicio,normal,nao,sim,nao,muito_bom,fraco,484,novembro
normal,meio,normal,sim,nao,nao,muito_bom,normal,541,novembro
ferias,inicio,normal,sim,nao,nao,muito_bom,muito_bom,1112,dezembro
ferias,meio,normal,nao,nao,nao,bom,bom,850,dezembro
ferias,final,normal,sim,sim,nao,bom,muito_fraco,319,dezembro
ferias,final,normal,sim,nao,sim,muito_bom,muito_bom,1120,dezembro
ferias,inicio,normal,sim,nao,sim,muito_bom,muito_bom,1184,janeiro
ferias,inicio,normal,nao,sim,nao,muito_bom,normal,520,janeiro
ferias,meio,normal,sim,nao,sim,muito_bom,muito_bom,1114,janeiro
ferias,final,normal,nao,nao,sim,muito_bom,muito_bom,939,fevereiro
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,958,marco
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,975,marco
normal,meio,normal,nao,nao,nao,bom,normal,561,marco
normal,final,bom,nao,nao,nao,muito_bom,muito_bom,935,marco
normal,final,normal,sim,nao,nao,bom,normal,596,marco
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,998,abril
normal,inicio,normal,nao,nao,nao,normal,normal,562,abril
normal,meio,normal,nao,nao,sim,muito_bom,muito_bom,972,abril
normal,final,bom,sim,nao,nao,muito_bom,muito_bom,911,abril
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,992,maio
normal,inicio,normal,nao,nao,nao,normal,normal,562,maio
normal,meio,normal,nao,sim,nao,normal,muito_fraco,338,maio
normal,final,bom,nao,nao,nao,muito_bom,muito_bom,983,maio
junina,inicio,normal,sim,nao,sim,muito_bom,muito_bom,1159,junho
junina,meio,normal,nao,nao,nao,muito_bom,muito_bom,1037,junho
junina,final,bom,sim,nao,nao,muito_bom,muito_bom,1059,junho
junina,final,normal,nao,nao,nao,bom,bom,850,junho
junina,inicio,normal,sim,nao,nao,bom,bom,870,julho
junina,inicio,bom,nao,nao,nao,muito_bom,muito_bom,1112,julho
junina,meio,normal,sim,nao,nao,bom,normal,529,julho
junina,final,normal,nao,nao,nao,normal,normal,559,julho
normal,inicio,normal,sim,nao,nao,muito_bom,bom,529,agosto
normal,inicio,normal,sim,nao,nao,bom,normal,852,agosto
normal,meio,normal,sim,nao,nao,bom,fraco,429,agosto
normal,final,bom,sim,nao,nao,muito_bom,muito_bom,962,agosto
normal,inicio,normal,sim,nao,nao,muito_bom,bom,831,setembro
normal,inicio,normal,sim,nao,nao,muito_bom,bom,842,setembro
normal,meio,bom,nao,nao,nao,muito_bom,muito_bom,973,setembro
normal,final,normal,nao,nao,nao,bom,bom,925,setembro
normal,final,desconhecido,nao,nao,nao,normal,fraco,492,setembro
normal,inicio,normal,sim,sim,nao,muito_bom,muito_fraco,352,outubro
normal,inicio,normal,sim,sim,nao,bom,muito_fraco,333,outubro
normal,meio,normal,nao,nao,nao,bom,normal,520,outubro
normal,final,normal,nao,sim,nao,bom,muito_fraco,331,outubro
normal,inicio,normal,nao,nao,nao,muito_bom,muito_bom,974,novembro
normal,inicio,desconhecido,nao,nao,nao,normal,fraco,467,novembro
normal,meio,normal,sim,nao,nao,muito_bom,normal,667,novembro
normal,final,normal,nao,nao,sim,muito_bom,muito_bom,938,novembro
ferias,inicio,normal,nao,nao,nao,muito_bom,muito_bom,1049,dezembro
ferias,inicio,normal,nao,nao,nao,normal,normal,592,dezembro
ferias,meio,bom,nao,nao,nao,muito_bom,muito_bom,1118,dezembro
ferias,final,normal,sim,nao,nao,bom,bom,857,dezembro
ferias,final,normal,nao,nao,sim,muito_bom,muito_bom,1084,dezembro
ferias,inicio,normal,nao,sim,sim,muito_bom,muito_bom,1139,janeiro
ferias,inicio,normal,nao,nao,nao,muito_bom,muito_bom,1026,janeiro
ferias,meio,normal,nao,sim,nao,muito_bom,fraco,469,janeiro
ferias,final,desconhecido,nao,nao,nao,bom,bom,830,janeiro
ferias,inicio,bom,nao,nao,sim,muito_bom,muito_bom,947,fevereiro
normal,inicio,desconhecido,nao,nao,nao,muito_bom,bom,782,marco
normal,meio,normal,nao,sim,nao,muito_bom,fraco,448,marco
normal,final,normal,nao,nao,nao,bom,bom,720,marco
